,Title,Year,Director
0,The Godfather,1972,Francis Ford Coppola
1,The Dark Knight,2008,Christopher Nolan
2,Schindler's List,1993,Steven Spielberg
3,Pulp Fiction,1994,Quentin Tarantino
4,The Lord of the Rings: The Two Towers,2002,Peter Jackson
5,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson
6,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner
7,The Silence of the Lambs,1991,Jonathan Demme
8,Goodfellas,1990,Martin Scorsese
9,Star Wars: Episode IV - A New Hope,1977,George Lucas
10,Saving Private Ryan,1998,Steven Spielberg
11,The Lord of the Rings: The Return of the King,2003,Peter Jackson
12,One Flew Over the Cuckoo's Nest,1975,Milos Forman
13,Back to the Future,1985,Robert Zemeckis
14,Toy Story,1995,John Lasseter
15,Memento,2000,Christopher Nolan
16,The Pianist,2002,Roman Polanski
17,The Departed,2006,Martin Scorsese
18,Raiders of the Lost Ark,1981,Steven Spielberg
19,12 Angry Men,1957,Sidney Lumet
20,The Lion King,1994,Roger Allers
21,Up,2009,Pete Docter
22,Alien,1979,Ridley Scott
23,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry
24,Toy Story 3,2010,Lee Unkrich
25,Die Hard,1988,John McTiernan
26,The Terminator,1984,James Cameron
27,Aliens,1986,James Cameron
28,Finding Nemo,2003,Andrew Stanton
29,The Truman Show,1998,Peter Weir
30,"Monsters, Inc.",2001,Pete Docter
31,Harry Potter and the Deathly Hallows: Part 2,2011,David Yates
32,Amélie,2001,Jean-Pierre Jeunet
33,Apocalypse Now,1979,Francis Ford Coppola
34,Pan's Labyrinth,2006,Guillermo del Toro
35,Taxi Driver,1976,Martin Scorsese
36,Jaws,1975,Steven Spielberg
37,Ratatouille,2007,Brad Bird
38,Psycho,1960,Alfred Hitchcock
39,Rear Window,1954,Alfred Hitchcock
40,The Wizard of Oz,1939,Victor Fleming
41,L.A. Confidential,1997,Curtis Hanson
42,Groundhog Day,1993,Harold Ramis
43,It's a Wonderful Life,1946,Frank Capra
44,Inside Out,2015,Pete Docter
45,Mad Max: Fury Road,2015,George Miller
46,Top Gun: Maverick,2022,Joseph Kosinski
47,Fargo,1996,Joel Coen
48,Whiplash,2014,Damien Chazelle
49,Citizen Kane,1941,Orson Welles
50,12 Years a Slave,2013,Steve McQueen
51,Avengers: Endgame,2019,Anthony Russo
52,Singin' in the Rain,1952,Stanley Donen
53,Unforgiven,1992,Clint Eastwood
54,Princess Mononoke,1997,Hayao Miyazaki
55,Grave of the Fireflies,1988,Isao Takahata
56,Raging Bull,1980,Martin Scorsese
57,Logan,2017,James Mangold
58,Spotlight,2015,Tom McCarthy
59,Spider-Man: No Way Home,2021,Jon Watts
60,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti
61,North by Northwest,1959,Alfred Hitchcock
62,Before Sunrise,1995,Richard Linklater
63,Coco,2017,Lee Unkrich
64,Chinatown,1974,Roman Polanski
65,Sunset Boulevard,1950,Billy Wilder
66,The Iron Giant,1999,Brad Bird
67,Some Like It Hot,1959,Billy Wilder
68,The Sting,1973,George Roy Hill
69,Lawrence of Arabia,1962,David Lean
70,Cool Hand Luke,1967,Stuart Rosenberg
71,On the Waterfront,1954,Elia Kazan
72,Das Boot,1981,Wolfgang Petersen
73,The Third Man,1949,Carol Reed
74,The Bridge on the River Kwai,1957,David Lean
75,Metropolis,1927,Fritz Lang
76,Before Sunset,2004,Richard Linklater
77,Paths of Glory,1957,Stanley Kubrick
78,Bicycle Thieves,1948,Vittorio De Sica
79,Double Indemnity,1944,Billy Wilder
80,Parasite,2019,Bong Joon Ho
81,Oppenheimer,2023,Christopher Nolan
82,Rashomon,1950,Akira Kurosawa
83,Spider-Man: Across the Spider-Verse,2023,Joaquim Dos Santos
84,All About Eve,1950,Joseph L. Mankiewicz
85,Ford v Ferrari,2019,James Mangold
86,The Treasure of the Sierra Madre,1948,John Huston
87,The Apartment,1960,Billy Wilder
88,Yojimbo,1961,Akira Kurosawa
89,Ran,1985,Akira Kurosawa
90,Rebecca,1940,Alfred Hitchcock
91,Mr. Smith Goes to Washington,1939,Frank Capra
92,The Handmaiden,2016,Park Chan-wook
93,Witness for the Prosecution,1957,Billy Wilder
94,Tokyo Story,1953,Yasujirô Ozu
95,The Grapes of Wrath,1940,John Ford
96,The Best Years of Our Lives,1946,William Wyler
97,The Passion of Joan of Arc,1928,Carl Theodor Dreyer
98,To Be or Not to Be,1942,Ernst Lubitsch
